Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of Incident,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Organisation Affected,Programme Focus,Aid Workers Killed,Aid Workers Injured,Aid Workers Kidnapped,Aid Workers Arrested,Known Kidnapping or Arrest Outcome,Aid Workers Killed in Captivity,International Aid Workers Killed,International Aid Workers Killed in Captivity,National Aid Workers Killed,National Aid Workers Killed in Captivity,Female Aid Workers Killed,Female Aid Workers Killed in Captivity,Male Aid Workers Killed,Male Aid Workers Killed in Captivity,International Aid Workers Injured,National Aid Workers Injured,Female Aid Workers Injured,Male Aid Workers Injured,International Aid Workers Kidnapped,National Aid Workers Kidnapped,Female Aid Workers Kidnapped,Male Aid Workers Kidnapped,International Aid Workers Arrested,National Aid Workers Arrested,Female Aid Workers Arrested,Male Aid Workers Arrested,SiND Event ID
2024-12-04,04 December 2024: A Red Cross health worker was shot and killed by Israeli forces while returning from transporting patients.,OPT,PSE,Gaza Strip,,,censored by HDX,Road,Host Government: Military,Israeli Defence Forces,Firearms,Red Cross (Nat Soc),Health,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86589
2024-12-03,December 2024: An NGO health worker was injured alongside his wife when their home was struck by shelling. ,Syria,SYR,Idleb Governorate,35.9,36.6,(2) 25 km Precision ,Home,Host Government: Military,Syrian or Russian Forces,Aerial Bomb: Plane,LNGO,Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86331
2024-12-03,"As reported in December 2024: An INGO health worker was killed as a result of an airstrike that struck a nearby medical facility while transporting a team of health workers.
",Syria,SYR,Aleppo Governorate,36.2,37.1,(2) 25 km Precision ,Road,Host Government: Military,Syrian or Russian Forces,Aerial Bomb: Plane,NGO,Health,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86010
2024-12-01,"December 2024: A medical facility entrance was hit and damaged by Russian or Syrian airstrikes, killing 12 people, including two health workers, and injuring 23 others. An INGO ambulance driver was also injured. Ambulances were damaged, including one from a second INGO which was rendered out of service.
",Syria,SYR,Aleppo Governorate,36.2,37.1,(2) 25 km Precision ,Health Building,Host Government: Military,Syrian or Russian Forces,Aerial Bomb: Plane,"LNGO, NGO",Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86009
2024-11-30,"November 2024: Two health workers, a civil defense worker and 58 other people, including children, were killed and 70 others injured when a road was bombed by Syrian regime airstrikes. ",Syria,SYR,Aleppo Governorate,36.2,37.1,(2) 25 km Precision ,Road,Host Government: Military,Syrian Armed Forces,Aerial Bomb: Plane,LNGO,Health,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86007
2024-11-28,"28 November 2024: An NGO-run medical facility in a camp was struck by Israeli forces drones, injuring two health workers and two others.",OPT,PSE,Gaza Strip,,,censored by HDX,Health Building,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,INGO,Health,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,86563
2024-11-23,November 2024: An INGO national staff member was killed by shelling of an unidentified origin. ,Sudan,SDN,North Darfur State,14.1,25.5,(2) 25 km Precision ,No information,No Information,Unidentified armed actor,Shelling,UN Agency,Multiple,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86165
2024-11-22,"22 November 2024: An NGO-run medical facility in a camp was struck by Israeli quadcopters, injuring an unspecified number of health workers.",OPT,PSE,Gaza Strip,,,censored by HDX,Health Building,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,INGO,Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85859
2024-11-22,November 2024: An aid worker was arrested by a security officer.,Sudan,SDN,Khartoum State,15.7,32.5,(2) 25 km Precision ,No information,Police,Sudan Police Force,Firearms,LNGO,Hunger,0,0,0,1,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,86164
2024-11-19,"19 November 2024: A Red Cross medical team was detained inside a house while they attempted to provide aid and used as a human shield during an Israeli forces military assault on a camp.
",OPT,PSE,West Bank,,,censored by HDX,IDP Refugee Camp,Host Government: Military,Israeli Defence Forces,Firearms,Red Cross (Nat Soc),Health,0,0,0,2,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,85961
2024-11-17,17 November 2024: Six volunteers were killed in an Israeli airstrike while on a mission facilitating the entry of humanitarian aid into the city. ,OPT,PSE,Gaza Strip,,,censored by HDX,No information,Host Government: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,NGO,No information,6,0,0,0,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86215
2024-11-14,"14 November 2024: An aid convoy driver was shot in the head and hospitalized, alongside another truck driver. ",OPT,PSE,Gaza Strip,,,censored by HDX,No information,Host Government: Military,Israeli Defence Forces,Firearms,NGO,No information,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,86210
2024-11-13,November 2024: An aid worker was beaten by an RSF member for taking a photo of a communal kitchen. Another RSF member falsely accused him of owing a $300 debt. ,Sudan,SDN,No Information,14.5,29.4,(6) Country,No information,NSA,Rapid Support Forces,Fist and Foot,LNGO,Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,86161
2024-11-13,"November 2024: An aid worker was beaten by RSF members, who stopped him outside and allegedly found messages on his phone being critical of the group. He was arrested and held for 20 days without his family being aware of his detention or location and was released following a social media campaign. ",Sudan,SDN,No Information,14.5,29.4,(6) Country,Home,NSA,Rapid Support Forces,Fist and Foot,LNGO,Health,0,1,0,1,Freed,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,86146
2024-11-10," November 2024:, An NGO worker and two other people were killed when their private vehicle was hit by an Al Shabaab roadside IED. Al Shabaab claimed to kill two ATMIS UPDF soldiers and injure five others in the attack. 
",Somalia,SOM,Lower Shabelle,1.7,44.7,"(3) District, Communicipality or Commune ",Road,NSA,Al-Shabaab,RCIED,NGO,No information,1,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86107
2024-11-04,November 2024: An aid worker was wounded by artillery shelling from an unidentified armed group.,Syria,SYR,Aleppo Governorate,36.3,37.4,(2) 25 km Precision ,Checkpoint,NSA,Unidentified armed actor,Artillery,NGO,No information,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86089
2024-11-02,"02 November 2024: A 21-year-old man, working as a driver delivering humanitarian aid, was killed by an Israeli artillery strike inside a camp.",OPT,PSE,Gaza Strip,,,censored by HDX,IDP Refugee Camp,Host Government: Military,Israeli Defence Forces,Artillery,NGO,No information,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86004
2024-11-01,01 November 2024: Twelve Palestinians were killed and two INGO aid workers injured when the entrance of a school hosting IDPs was hit by intense shelling by suspected Israeli forces at about 12:50. ,OPT,PSE,Gaza Strip,,,censored by HDX,IDP Refugee Camp,Host Government: Military,Israeli Defence Forces,Shelling,INGO,Hunger,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,86001
2024-10-29,October 2024: An INGO aid worker was injured by a stray bullet while on a humanitarian mission amid clashes between M23 and Wazalendo fighters.,DRC,COD,North Kivu,-0.9,29.2,(2) 25 km Precision ,Project site,NSA,"March 23 Movement, Wazalendo (DRC local militia)",Firearms,INGO,Multiple,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,86105
2024-10-26,"October 2024: Eight LNGO aid workers, including the chairman, were arrested by junta security forces. The victims were transported to a town for interrogation and accused of passing information about the junta to the PDF. ",Myanmar,MMR,Mandalay,21.9,96.0,(2) 25 km Precision ,No information,Host Government: Military,Myanmar Armed Forces,Firearms,LNGO,Health,0,0,0,8,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,85420
2024-10-26,October 2024: An unspecified number of aid volunteers were shot by the RSF during their attack in the city. ,Sudan,SDN,Gezira State,14.9,33.4,"(3) District, Communicipality or Commune ",No information,NSA,Rapid Support Forces,Firearms,NGO,No information,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85696
2024-10-26,October 2024: An aid volunteer was killed in an attack by the RSF on the village. ,Sudan,SDN,Blue Nile State,11.2,34.7,(2) 25 km Precision ,Home,NSA,Rapid Support Forces,Firearms,NGO,No information,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85694
2024-10-25,"25 October 2024: A medical facility was raided by Israeli forces who opened fire inside. Three nurses and a cleaner were injured. Patients and staff were held without food or water and an all men, including 44 medical staff, were detained after being stripped; an INGO nursing director and INGO surgeon were among them.The medical facility director and 13 other staff were later released. The medical facility perimeter, three ambulances, a transport vehicle, medical supplies and its solar electric system were destroyed. When IDF withdrew the next day, only one paediatrician remained in the facility.",OPT,PSE,Gaza Strip,,,censored by HDX,Health Building,Host Government: Military,Israeli Defence Forces,Firearms,INGO,Health,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,84911
2024-10-24,24 October 2024: A Red Cross paramedic was shot by Israeli forces while on duty.,OPT,PSE,West Bank,,,censored by HDX,Road,Host Government: Military,Israeli Defence Forces,Firearms,Red Cross (Nat Soc),Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85187
2024-10-24,24 October 2024: An INGO health worker was killed alongside four family members after an Israeli airstrike struck the building he was staying in. ,OPT,PSE,Gaza Strip,,,censored by HDX,Home,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,INGO,Health,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85170
2024-10-23,"23 October 2024: A UN aid worker and his brother, were killed, and an unspecified number injured when a clearly marked UN vehicle was struck by Israeli shelling. The two were on their way to collect food for displaced Palestinians. ",OPT,PSE,Gaza Strip,,,censored by HDX,Road,Host Government: Military,Israeli Defence Forces,Shelling,UN Agency,Multiple,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85683
2024-10-23,October 2024: An INGO aid worker was shot by gunmen after their vehicle was ambushed. ,South Sudan,SSD,Eastern Equatoria,4.1,32.3,(2) 25 km Precision ,Road,NSA,Unidentified armed actor,Firearms,INGO,No information,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,85697
2024-10-23,"October 2024: A doctor was arrested by the junta police, believed to be due to their social media posts. 11 LNGO aid workers, including some doctors, who had delivered medical aids in partnership with the victim, were also arrested for interrogation.",Myanmar,MMR,Mandalay,21.9,96.0,(2) 25 km Precision ,No information,Host Government: Military,Myanmar Armed Forces,Firearms,LNGO,Health,0,0,0,11,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,85352
2024-10-22,October 2024: Three paramedics were injured by shrapnel while providing medical care to people in need. ,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Project site,Foreign Forces: Military,Israeli Defence Forces,No Information on the Weapon Used,Red Cross (Nat Soc),Health,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,84860
2024-10-19,"19 October 2024: An ambulance belonging to an NGO-supported medical facility was reportedly struck, injuring six people including a paramedic. 
",OPT,PSE,Gaza Strip,,,censored by HDX,No information,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,INGO,Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84898
2024-10-19,"19 October 2024: The upper floors of an NGO-supported medical facility were struck by Israeli bombing, injuring an unspecified number of health workers. 
",OPT,PSE,Gaza Strip,,,censored by HDX,Health Building,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,INGO,Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84996
2024-10-16,October 2024: At least four members of a local aid group were among 52 people injured and 16 killed during a series of Israeli airstrikes while they were gathered at the municipality building for a relief management meeting. ,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Public Building,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Plane,NGO,Multiple,4,1,0,0,,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85675
2024-10-16,October 2024: Two paramedics were injured in an attack by Israeli forces. ,Lebanon,LBN,South Governorate,,,censored by HDX,No information,Foreign Forces: Military,Israeli Defence Forces,Unspecified Explosive,Red Cross (Nat Soc),Health,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,86598
2024-10-16,October 2024: Two paramedics were injured by shrapnel as two health NGO ambulances conducted a rescue mission during Israeli airstrikes.,Lebanon,LBN,South Governorate,,,censored by HDX,Project site,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Plane,Red Cross (Nat Soc),Health,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,84957
2024-10-15,15 October 2024: Five people were injured when Israeli drones hit aid security personnel. ,OPT,PSE,Gaza Strip,,,censored by HDX,No information,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,NGO,Multiple,0,5,0,0,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,85677
2024-10-14,"October 2024: An INGO team, along with civilians and community health workers, were attacked and robbed by armed men. As a result, the INGO temporarily suspended medical services.",Mali,MLI,Ségou Region,15.2,-5.5,"(3) District, Communicipality or Commune ",No information,NSA,Unidentified armed actor,Firearms,INGO,Health,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85506
2024-10-13,October 2024: Four paramedics were injured and two ambulances were damaged when a home was hit by an Israeli airstrike.,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Home,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Plane,Red Cross (Nat Soc),Health,0,4,0,0,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,84641
2024-10-13,"October 2024: An INGO-supported medical facility was bombed by the RSF with four shells, killing a health worker and injuring two other workers.",Sudan,SDN,Khartoum State,15.6,32.4,(2) 25 km Precision ,Health Building,NSA,Rapid Support Forces,Shelling,INGO,Health,1,2,0,0,,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,85111
2024-10-10,"10 October 2024: In Far’a Refugee Camp, a Red Cross ambulance was stopped and searched, and a paramedic detained after Israeli forces verbally assaulted him and other paramedics, following the forced closure of a Red Cross medical point. ",OPT,PSE,West Bank,,,censored by HDX,IDP Refugee Camp,Host Government: Military,Israeli Defence Forces,Firearms,Red Cross (Nat Soc),Health,0,0,0,1,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,84969
2024-10-10,October 2024: An aid worker was reportedly arrested and tortured by the RSF. He died on or before 10 October 2024. ,Sudan,SDN,No Information,14.5,29.4,(6) Country,No information,NSA,Rapid Support Forces,Firearms,NGO,No information,1,1,0,1,Killed,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,85564
2024-10-09,09 October 2024: At least three aid security personnel were killed and an unspecified number injured when a vehicle was hit by Israeli aircraft.,OPT,PSE,Gaza Strip,,,censored by HDX,No information,Host Government: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,NGO,No information,3,1,0,0,,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85610
2024-10-08,"08 October 2024: In Jabalia Refugee Camp, a UN aid worker was killed in an Israeli airstrike inside a camp.",OPT,PSE,Gaza Strip,,,censored by HDX,IDP Refugee Camp,Host Government: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,UN Agency,Protection,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85607
2024-10-08,"08 October 2024: An INGO ambulance driver was injured on his legs and chest by shrapnel. He died from his injuries two days later.
",OPT,PSE,Gaza Strip,,,censored by HDX,No information,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,INGO,Health,1,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,84870
2024-10-08,October 2024: An emergency room volunteer was shot and wounded by an unidentified armed group. ,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,No information,NSA,Unidentified armed actor,Firearms,NGO,No information,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85531
2024-10-05,October 2024: A female LNGO aid worker was killed during a bombardment. ,Lebanon,LBN,Baalbek-Hermel Governorate,,,censored by HDX,No information,Foreign Forces: Military,Israeli Defence Forces,Unspecified Explosive,Red Cross (Nat Soc),Health,1,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85599
2024-10-05,October 2024: A UN aid worker sustained a head injury requiring stitches as a result of an Israeli airstrike. ,Lebanon,LBN,Mount Lebanon Governorate,,,censored by HDX,No information,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,UN Agency,Multiple,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85598
2024-10-04,October 2024: An on-duty female aid volunteer was killed when residential neighbourhoods were shelled by the RSF. ,Sudan,SDN,Khartoum State,15.6,32.4,(2) 25 km Precision ,Home,NSA,Rapid Support Forces,Shelling,NGO,No information,1,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85530
2024-10-03,"October 2024: Three ambulances were attacked and damaged by Israeli forces, injuring six paramedics.",Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,No information,Foreign Forces: Military,Israeli Defence Forces,Unspecified Explosive,Red Cross (Nat Soc),Health,0,6,0,0,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,86557
2024-10-03,October 2024: Five medics were injured when volunteer health organization convoy was hit by Israeli artillery shells. ,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,No information,Foreign Forces: Military,Israeli Defence Forces,Artillery,Red Cross (Nat Soc),Health,0,5,0,0,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,85597
2024-10-03,October 2024: Five paramedics were injured in an Israeli drone strike while carrying out an evacuation and rescue mission with the Lebanese Army.,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Project site,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Drone,Red Cross (Nat Soc),Health,0,5,0,0,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,84530
2024-10-02,October 2024: An unspecified number of aid workers were shot and killed by the ADF.,DRC,COD,North Kivu,0.5,28.8,(2) 25 km Precision ,Home,NSA,Allied Democratic Forces /National Army for the Liberation of Uganda,Firearms,NGO,No information,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85522
2024-10-01,"01 October 2024: In Balata Refugee Camp, six PRCS paramedics were injured when undercover Israeli forces fired live ammunition at their ambulance, damaging it.",OPT,PSE,West Bank,,,censored by HDX,IDP Refugee Camp,Host Government: Military,Israeli Defence Forces,Firearms,Red Cross (Nat Soc),Health,0,6,0,0,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,84531
2024-10-01,"01 October 2024: In Balata Refugee Camp, a PRCS ambulance was fired at for a second time by Israeli forces live ammunition, injuring two crew members while transporting a wounded individual.",OPT,PSE,West Bank,,,censored by HDX,IDP Refugee Camp,Host Government: Military,Israeli Defence Forces,Firearms,Red Cross (Nat Soc),Health,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,84537
2024-09-30,"September 2024:  In Al-Bass Refugee Camp the Principal of the UN-run Secondary School was killed in an Israeli airstrike on his house. His wife, son, and daughter were also killed. ",Lebanon,LBN,South Governorate,,,censored by HDX,IDP Refugee Camp,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,UN Agency,Hunger,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85078
2024-09-30,September 2024: An unspecified number of aid workers were shot by Houthi forces using artillery and firearms while they were distributing aid to displaced people. ,Yemen,YEM,Lahij Governorate,13.4,44.6,(2) 25 km Precision ,No information,NSA,Shia al-Houthi rebels,Artillery,NGO,Hunger,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85689
2024-09-29,September 2024: A Sanitation and Hygiene Promotion Officer working for an INGO was killed by unidentified perpetrators while on their way home on a minibus.,Ethiopia,ETH,Amhara Region,11.2,37.4,(2) 25 km Precision ,Road,No Information,Unidentified armed actor,Firearms,INGO,Health,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85099
2024-09-29,September 2024: An INGO compound was raided by government security forces (SNA). One staff member was arrested on accusations of being involved in a recent altercation that resulted in injuries to two people in Belet Hawa town and was taken there after the arrest. ,Somalia,SOM,Gedo,4.1,42.0,(2) 25 km Precision ,Compound or Office Building,Police,Intelligence/security forces (Somalia),Firearms,INGO,No information,0,0,0,1,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85524
2024-09-26,"26 September 2024: A Palestinian health and education INGO worker was killed when Hamas gunmen opened fire on her car after she reportedly refused to hand over funds to the group. Hamas claimed the incident was a mistake.
",OPT,PSE,Gaza Strip,,,censored by HDX,Road,NSA,Hamas,Firearms,INGO,Health,1,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84477
2024-09-25,"September 2024: Four LNGO aid workers, including the LNGO chairperson, were abducted by an armed group. The chairperson was killed on the day and the other three were killed the following day.",Myanmar,MMR,Mandalay,21.7,95.4,(2) 25 km Precision ,No information,NSA,Unidentified armed actor,Firearms,LNGO,Health,4,0,4,0,Killed,4,0,0,4,4,0,0,4,4,0,0,0,0,0,4,0,4,0,0,0,0,84935
2024-09-25,25 September 2024: Three aid workers of the Ukrainian Red Cross Society were wounded during a humanitarian mission by Russian airstrikes on the city centre.,Ukraine,UKR,Donetsk Oblast,48.7,37.5,(2) 25 km Precision ,Project site,Foreign Forces: Military,Armed Forces of the Russian Federation,Shelling,Red Cross (Nat Soc),Multiple,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84498
2024-09-25,25 September 2024: A volunteer at a community kitchen was killed during shelling of an unidentified origin. ,Sudan,SDN,Khartoum State,15.5,32.5,"(3) District, Communicipality or Commune ",No information,No Information,Unidentified armed actor,Shelling,NGO,Hunger,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85045
2024-09-23,"September 2024: A male UNHCR-contracted cleaner was killed, likely by Israeli airstrikes. ",Lebanon,LBN,Beqaa Governorate,,,censored by HDX,No information,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: No Information on Platform Type,UN Agency,Protection,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85073
2024-09-23,"September 2024: A female UNHCR staff member was killed when the building she was in with her husband and their two young children was hit by an Israeli missile. According to UNHCR, her husband and one of her children are hospitalised with serious injuries.",Lebanon,LBN,Beqaa Governorate,,,censored by HDX,Home,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Plane,UN Agency,Protection,1,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85072
2024-09-23,September 2024: An INGO-contracted security guard was killed by an unidentified armed individual at the entrance of a health facility.,South Sudan,SSD,Eastern Equatoria,4.4,32.7,(2) 25 km Precision ,Health Building,No Information,Unidentified armed actor,Firearms,INGO,Health,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84690
2024-09-22,September 2024: The supervisor of a community food kitchen was killed by the RSF. ,Sudan,SDN,Khartoum State,15.5,32.5,"(3) District, Communicipality or Commune ",No information,NSA,Rapid Support Forces,Firearms,NGO,Hunger,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85043
2024-09-20,"September 2024: Three LNGO workers were arrested by the Myanmar military from their homes. The LNGO provided ambulance services. They were accused of having ties with the PDF, providing support to the PDF and helping to transport weapons and ammunition for the PDF.",Myanmar,MMR,Mon State,15.9,97.7,(2) 25 km Precision ,Home,Host Government: Military,Myanmar Armed Forces,Firearms,LNGO,Health,0,0,0,3,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,84523
2024-09-20,September 2024: An INGO truck was forcibly seized and the driver detained at a checkpoint controlled by the RSF. The INGO since lost contact with the driver. The truck was carrying medicines and medical equipment.,Sudan,SDN,White Nile State,12.4,32.5,"(4) Province, State, Governorate ",Other,NSA,Rapid Support Forces,Firearms,INGO,Health,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85538
2024-09-20,"September 2024: Two INGO vehicles were stopped on the road by National Salvation Front members, who forced four staff members to disembark at gunpoint, while looting INGO and staff’s belongings. They abducted an INGO staff member and another aid worker belonging to a partner organisation while letting the two drivers proceed with the vehicles. They were released after 24 hours. The INGO suspended their activities over security concerns.",South Sudan,SSD,Central Equatoria,4.0,30.6,"(3) District, Communicipality or Commune ",Road,NSA,National Salvation Front (South Sudan),Firearms,"INGO, NGO",Multiple,0,0,2,0,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84685
2024-09-19,"September 2024: An INGO director was shot and killed by members of an unknown armed group who demanded the payment of a toll on a roadblock even though, as a humanitarian, he was not obliged to do so.",DRC,COD,South Kivu,-3.4,28.4,"(3) District, Communicipality or Commune ",Checkpoint,NSA,Unidentified armed actor,Firearms,INGO,Multiple,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84282
2024-09-18,"September 2024: Five LNGO workers, including the LNGO chairperson, were arrested by the Myanmar military from their office. The LNGO provided ambulance services. They were accused of having ties with the PDF, providing support to the PDF and helping to transport weapons and ammunition for the PDF.",Myanmar,MMR,Mon State,15.9,97.7,(2) 25 km Precision ,Compound or Office Building,Host Government: Military,Myanmar Armed Forces,Firearms,LNGO,Health,0,0,0,5,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,84522
2024-09-18,"18 September 2024: A Red Cross psychologist was arrested from her home alongside her husband by Israeli forces. 
",OPT,PSE,Judea and Samaria,,,censored by HDX,Home,Host Government: Military,Israeli Defence Forces,Firearms,Red Cross (Nat Soc),Health,0,0,0,1,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,85130
